****************************************
Report : report_global_slack
Design : multdiv
Version: K-2015.06-SP3-2
Date   : Wed Apr 28 12:37:20 2021
****************************************

       Max_Rise      Max_Fall   Point
          -2.17         -2.13   U650/A1
          -2.27         -2.33   U650/A2
          -2.25         -2.29   U650/B1
          -2.12         -2.22   U650/B2
          -2.33         -2.27   U650/ZN
          -0.50         -0.60   U710/A
          -0.60         -0.50   U710/ZN
          -0.40         -0.50   U712/A
          -0.50         -0.40   U712/ZN
          -0.24         -0.30   U714/A
          -0.30         -0.24   U714/ZN
          -0.23         -0.29   U715/A
          -0.29         -0.23   U715/ZN
          -0.12         -0.15   U716/A
          -0.15         -0.12   U716/ZN
          -0.10         -0.14   U717/A
          -0.14         -0.10   U717/ZN
           0.12          0.19   U718/A
           0.19          0.12   U718/ZN
           0.03          0.00   U719/A
           0.00          0.03   U719/ZN
          -0.02         -0.03   U720/A
          -0.03         -0.02   U720/ZN
           0.24          0.30   U721/A
           0.30          0.24   U721/ZN
              *             *   U726/A
              *             *   U726/ZN
          -2.16         -2.20   U911/A
          -2.20         -2.16   U911/ZN
          -2.18         -2.28   U912/A
          -2.28         -2.18   U912/ZN
          -1.39         -1.35   U919/A
          -1.35         -1.39   U919/ZN
          -2.08         -2.07   U920/A
          -2.07         -2.08   U920/ZN
          -0.73         -0.70   U930/A
          -0.70         -0.73   U930/ZN
           0.32          0.11   U934/A
           0.11          0.32   U934/ZN
           0.32          0.11   U935/A
           0.11          0.32   U935/ZN
           0.31          0.09   U936/A
           0.09          0.31   U936/ZN
           0.30          0.07   U937/A
           0.07          0.30   U937/ZN
           0.27          0.07   U938/A
           0.07          0.27   U938/ZN
           0.41          0.26   U939/A
           0.26          0.41   U939/ZN
          -2.13         -2.24   U989/A
          -2.24         -2.13   U989/ZN
          -0.06         -0.07   U999/A1
          -0.03         -0.07   U999/A2
          -0.06         -0.09   U999/A3
          -0.09         -0.06   U999/ZN
              *             *   U1026/A1
              *             *   U1026/A2
              *             *   U1026/ZN
              *             *   U1134/A1
              *             *   U1134/A2
              *             *   U1134/ZN
              *             *   U1137/A1
              *             *   U1137/A2
              *             *   U1137/ZN
              *             *   U1138/A1
              *             *   U1138/A2
              *             *   U1138/ZN
              *             *   U1141/A1
              *             *   U1141/A2
              *             *   U1141/ZN
              *             *   U1143/A1
              *             *   U1143/A2
              *             *   U1143/ZN
              *             *   U1145/A1
              *             *   U1145/A2
              *             *   U1145/ZN
              *             *   U1146/A1
              *             *   U1146/A2
              *             *   U1146/ZN
              *             *   U1153/A1
              *             *   U1153/A2
              *             *   U1153/ZN
              *             *   U1155/A1
              *             *   U1155/A2
              *             *   U1155/ZN
